Melissa officinalis	5341501
Dianthus crassipes	7267719
Mentha aquatica	2927208
Orobanche gracilis	7332490
Retama sphaerocarpa	2965093
Helianthemum aegyptiacum	3596175
Lavandula pedunculata	7307760
Stipa capensis	4143591
Glaucium flavum	5334190
Acer monspessulanum	7262958
Adenocarpus anisochilus	7302049
Adenocarpus complicatus	2951647
Aetheorhiza bulbosa	3143051
Agrostis juressi	4121423
Allium nigrum	2855823
Angelica sylvestris	5371818
Apium repens	5371880
Arabis planisiliqua	5374933
Arabis sadina	5375135
Arenaria emarginata	5384572
Arenaria montana	6363863
Aristolochia pistolochia	3588806
Armeria linkiana	5668026
Armeria pinifolia	4090302
Arthrocnemum macrostachyum	3757345
Asplenium onopteris	4258713
Asplenium petrarchae	7310803
Asteriscus maritimus	5385231
Astragalus echinatus	5344041
Athyrium filix-femina	5275044
Avenula sulcata	4148038
Barlia robertiana	2850023
Brachypodium sylvaticum	5290146
Bupleurum acutifolium	3640554
Calicotome villosa	2956364
Carex paniculata	2723371
Catananche lutea	3134871
Centaurea africana	3127972
Centaurea crocata	3128544
Centaurea exarata	3128349
Centaurea vicentina	3127925
Cephalanthera longifolia	2795869
Cephalaria leucantha	4104323
Cerinthe gymnandra	7294738
Chaenorhinum origanifolium	7332415
Cheilanthes tinaei	3747301
Cicendia filiformis	3841406
Cirsium palustre	3113239
Cirsium welwitschii	3112613
Cistus libanotis	3596392
Cladium mariscus	2731327
Coincya monensis	3040600
Colchicum lusitanum	2739769
Coronilla juncea	5348659
Cosentinia vellea	7335582
Cynara algarbiensis	3112354
Cynosurus cristatus	2704395
Cyperus distachyos	2713596
Cytisus arboreus	5354706
Daucus setifolius	3640303
Delphinium staphisagria	7277614
Dianthus broteri	7267842
Dianthus lusitanus	7267453
Digitalis mariana	6033071
Dorycnium rectum	2959118
Drosophyllum lusitanicum	3191259
Echinops strigosus	5392672
Elatine brochonii	5792656
Elatine macropoda	7289714
Eleocharis multicaulis	2717898
Erica arborea	5333410
Erica cinerea	5333411
Erica lusitanica	5333409
Eryngium tenue	3641557
Eupatorium cannabinum	5402943
Euphorbia amygdaloides	3065239
Euphorbia boetica	3919726
Euphorbia pedroi	3067967
Fagonia cretica	6384851
Festuca paniculata	4117958
Filipendula vulgaris	2988069
Fuirena pubescens	2719050
Fumana laevipes	3595480
Fumana thymifolia	7331278
Gagea foliosa	5300200
Genista ancistrocarpa	5347645
Gennaria diphylla	2834242
Geranium malviflorum	2891384
Glinus lotoides	3084616
Gratiola officinalis	3171915
Groenlandia densa	4009380
Gymnadenia conopsea	2840512
Helianthemum salicifolium	2874095
Helianthemum ledifolium	7331392
Heliotropium supinum	2925777
Herniaria maritima	3594307
Hesperis laciniata	3042226
Hyoseris scabra	3134561
Hypericum androsaemum	3189525
Hypericum pubescens	3712768
Iberis procumbens	5377204
Inula conyza	3148475
Iris boissieri	5298488
Isolepis fluitans	2713142
Isolepis pseudosetacea	2713255
Juncus bulbosus	2701339
Juncus emmanuelis	2701630
Juniperus navicularis	2684453
Lavandula multifida	3891203
Lavandula viridis	3890777
Lavatera maritima	7279303
Lepidium heterophyllum	5376846
Lepidophorum repandum	3091325
Leucanthemum ircutianum	5401008
Leucanthemum sylvaticum	5400962
Leuzea conifera	3142203
Limonium sinuatum	3082297
Lysimachia vulgaris	3169386
Lythrum thymifolia	3188745
Lythrum borysthenicum	7286266
Magydaris panacifolia	3632658
Marsilea batardae	5613441
Matthiola fruticulosa	5377429
Merendera montana	2739690
Myrica gale	5414202
Myrica faya	5414211
Narcissus calcicola	2858644
Neatostema apulum	4061000
Neotinea maculata	2812458
Nigella papillosa	7278224
Nothobartsia asperrima	3736545
Odontitella virgata	3736321
Omphalodes linifolia	2926050
Onobrychis humilis	2972624
Onopordum nervosum	3094921
Osyris lanceolata	3788959
Parentucellia latifolia	3171819
Patellifolia patellaris	3757802
Phlomis herba-venti	7307235
Phlomis lychnitis	3887383
Physospermum cornubiense	3639129
Pilularia minuta	3913503
Piptatherum coerulescens	4135267
Plantago albicans	4155931
Polygonatum odoratum	2770228
Polystichum setiferum	4044517
Potamogeton crispus	5301162
Potamogeton trichoides	5642073
Potentilla reptans	5367273
Pseudarrhenatherum pallens	5941603
Pulicaria dysenterica	3095609
Quercus pyrenaica	2878826
Quercus robur	2878688
Ranunculus flammula	3033312
